country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,Case_Fatality_Rate_Percent,Recovery_Rate_Percent,Testing_Rate_Percent
Slovenia,Europe,1019468,6622.0,1003559.0,9287.0,9.0,490254,3184.0,2656926.0,1277694.0,2079470,0.6495544735097128,98.43948019947659,127.76938354484557
Solomon Islands,Australia/Oceania,18174,146.0,16357.0,1671.0,2.0,25303,203.0,5117.0,7124.0,718243,0.8033454385385715,90.00220094640696,0.7124329788107925
Somalia,Africa,26518,1350.0,13182.0,11986.0,0.0,1586,81.0,400466.0,23953.0,16718643,5.090881665283958,49.70963119390603,2.395325984291907
South Africa,Africa,3887449,100753.0,3708347.0,78349.0,192.0,64042,1660.0,24841314.0,409239.0,60701292,2.5917510429075725,95.39281415653299,40.923863696344384
South Korea,Asia,17782061,23709.0,0.0,0.0,338.0,346282,462.0,15804065.0,307763.0,51351355,0.1333310013951701,0.0,30.776334918523574
South Sudan,Africa,17525,138.0,13514.0,3873.0,1.0,1532,12.0,389677.0,34068.0,11438136,0.7874465049928673,77.11269614835949,3.4068225801826455
Spain,Europe,12127122,105444.0,11548089.0,473589.0,339.0,259190,2254.0,471036328.0,10067352.0,46788503,0.8694890675627738,95.22530572381477,1006.7351973197347
Sri Lanka,Asia,663671,16511.0,646921.0,239.0,0.0,30753,765.0,6486117.0,300555.0,21580463,2.4878290598805735,97.47615912101027,30.055504369855274
State Of Palestine,Asia,582119,5353.0,576684.0,82.0,17.0,109376,1006.0,3078533.0,578432.0,5322203,0.9195714278352021,99.06634210530837,57.84320891179837
Sudan,Africa,62161,4936.0,0.0,0.0,0.0,1359,108.0,562941.0,12303.0,45755378,7.9406701951384315,0.0,1.2303275037963843
Suriname,South America,80008,1337.0,49455.0,29216.0,0.0,134147,2242.0,236268.0,396143.0,596421,1.671082891710829,61.81256874312568,39.61429929529645
Swaziland,Africa,71698,1402.0,69549.0,747.0,11.0,60631,1186.0,1021394.0,863732.0,1182536,1.9554241401433792,97.00270579374599,86.37318441045346
